timestamp,topic,attributes_client.port,attributes_code.filepath,attributes_code.function,attributes_code.lineno,attributes_code.namespace,attributes_db.name,attributes_db.operation,attributes_db.statement,attributes_db.system,attributes_db.user,attributes_http.client_ip,attributes_http.method,attributes_http.request.body.size,attributes_http.request.method,attributes_http.response.body.size,attributes_http.response.status_code,attributes_http.route,attributes_http.status_code,attributes_http.url,attributes_http.user_agent,attributes_network.peer.address,attributes_network.protocol.version,attributes_server.address,attributes_server.port,attributes_url.full,attributes_url.path,attributes_url.scheme,attributes_user_agent.original,body,body_length,context_ip,context_method,context_request_data_age,context_request_data_name,context_status_code,context_trace_id,context_url,context_user_agent,correlation_cross_signal_health_score,correlation_error_correlation_score,correlation_error_density,correlation_error_to_request_ratio,correlation_metric_anomaly_rate,correlation_service_diversity,day_of_week,duration_ms,end_time,enhanced_body_length_cv,enhanced_body_length_max,enhanced_body_length_mean,enhanced_body_length_min,enhanced_body_length_p95,enhanced_body_length_std,enhanced_duration_ms_cv,enhanced_duration_ms_max,enhanced_duration_ms_mean,enhanced_duration_ms_min,enhanced_duration_ms_p95,enhanced_duration_ms_std,enhanced_error_rate,enhanced_hour_variance,enhanced_messages_per_minute,enhanced_peak_hour,enhanced_unique_sources,enhanced_value_cv,enhanced_value_max,enhanced_value_mean,enhanced_value_min,enhanced_value_p95,enhanced_value_std,enhanced_window_minutes,error,events_count,exception,exception_message,exception_stacktrace_length,exception_type,hour,is_error,kind,name,observed_ts,parent_span_id,resource_attributes_host.arch,resource_attributes_host.name,resource_attributes_os.description,resource_attributes_os.name,resource_attributes_os.type,resource_attributes_os.version,resource_attributes_process.executable.path,resource_attributes_process.owner,resource_attributes_process.pid,resource_attributes_process.runtime.name,resource_attributes_process.runtime.version,resource_attributes_service.name,resource_attributes_service.version,resource_attributes_telemetry.distro.name,resource_attributes_telemetry.distro.version,resource_attributes_telemetry.sdk.language,resource_attributes_telemetry.sdk.name,resource_attributes_telemetry.sdk.version,severity_number,severity_text,sliding_avg_duration_15m,sliding_avg_duration_5m,sliding_avg_duration_60m,sliding_avg_messages_15m,sliding_avg_messages_5m,sliding_avg_messages_60m,sliding_duration_trend_15m,sliding_duration_trend_5m,sliding_duration_trend_60m,sliding_error_rate_15m,sliding_error_rate_5m,sliding_error_rate_60m,sliding_trend_15m,sliding_trend_5m,sliding_trend_60m,sliding_volume_trend_15m,sliding_volume_trend_5m,sliding_volume_trend_60m,source,span_id,start_time,trace_id,value,__anomaly__,__anomaly_type__
2025-11-25T09:43:39.000Z,test-topic-sig,39012,/var/www/vendor/laravel/framework/src/Illuminate/Routing/Route.php,handle,479,,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,GET,105,POST,132,200,/api/people,200,http://localhost:8000/api/people,k6/0.57.0,,,localhost,8000,http://localhost:8000/api/people,/api/people,http,,,132,,,,,,,,,,,0.0,,,,1,121.0,2025-11-25T09:43:39.121Z,,,,,,,,,109.66914084345918,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,GET /api/people,,739464f0835c4f34,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,3fa892cecaeb4ff8,2025-11-25T09:43:39.000Z,dd8af9075b72422785cf3e81f3db431b,1.0,0,normal
2025-11-25T09:34:29.000Z,test-topic-sig,53462,,handle,401,Illuminate\Routing,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,GET,400,GET,501,200,/api/people,200,http://localhost:8000/api/people,k6/0.57.0,,,localhost,8000,http://localhost:8000/api/people,/api/people,http,,,501,,,,,,,,,,,0.0,,,,1,132.0,2025-11-25T09:34:29.132Z,,,,,,,,,137.23088002768918,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,POST /api/people,,402eca08f44b4d60,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,061cef3c00854ffc,2025-11-25T09:34:29.000Z,f1462b6b8c034e5bb55b8d397300b06d,1.0,0,normal
2025-11-25T09:14:41.000Z,test-topic-sig,42449,/var/www/vendor/laravel/framework/src/Illuminate/Routing/Route.php,,,,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,POST,98,GET,123,200,/api/orders,200,http://localhost:8000/api/orders,k6/0.57.0,,,localhost,8000,http://localhost:8000/api/orders,/api/orders,http,,,123,,,,,,,,,,,0.0,,,,1,78.0,2025-11-25T09:14:41.078Z,,,,,,,,,85.38060591807819,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,POST /api/orders,,34e11381cf8a4080,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,c8c7080f714942d4,2025-11-25T09:14:41.000Z,4bab3b0daa524acfb58fc15c6664203c,1.0,0,normal
2025-11-25T09:20:00.000Z,test-topic-sig,53087,/var/www/vendor/laravel/framework/src/Illuminate/Routing/Route.php,,,,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,GET,219,GET,274,200,/api/orders,200,http://localhost:8000/api/orders,k6/0.57.0,,,localhost,8000,http://localhost:8000/api/orders,/api/orders,http,,,274,,,,,,,,,,,0.0,,,,1,232.0,2025-11-25T09:20:00.232Z,,,,,,,,,226.4378568418173,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,POST /api/orders,,,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,b88d2db003d24154,2025-11-25T09:20:00.000Z,554b2034296a451fa37948bc08f1717c,1.0,0,normal
2025-11-25T09:24:54.000Z,test-topic-sig,36865,,,,Illuminate\Routing,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,GET,183,GET,229,200,/api/users,200,http://localhost:8000/api/users,k6/0.57.0,,,localhost,8000,http://localhost:8000/api/users,/api/users,http,,,229,,,,,,,,,,,0.0,,,,1,67.0,2025-11-25T09:24:54.067Z,,,,,,,,,62.48959341640984,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,POST /api/users,,6d7e4c2385af4b0c,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,88b71f0058eb464c,2025-11-25T09:24:54.000Z,4599f1b03430448eac6f60d19db9432a,1.0,0,normal
2025-11-25T09:43:41.000Z,test-topic-sig,57618,,handle,,,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,POST,81,POST,102,200,/api/users,200,http://localhost:8000/api/users,k6/0.57.0,,,localhost,8000,http://localhost:8000/api/users,/api/users,http,,,102,,,,,,,,,,,0.0,,,,1,68.0,2025-11-25T09:43:41.068Z,,,,,,,,,62.100165030877044,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,POST /api/users,,fb89efd180c1487d,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,8fcd3f90c2254603,2025-11-25T09:43:41.000Z,d55fc0d4b2b14a3290118fb64bf792c1,1.0,0,normal
2025-11-25T09:34:04.000Z,test-topic-sig,,,handle,481,Illuminate\Routing,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,POST,25,POST,32,200,/health,200,http://localhost:8000/health,k6/0.57.0,,,localhost,8000,http://localhost:8000/health,/health,http,,,32,,,,,,,,,,,0.0,,,,1,104.0,2025-11-25T09:34:04.104Z,,,,,,,,,112.27471597893154,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,POST /health,,,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,8cc37f5bc0ce44f2,2025-11-25T09:34:04.000Z,d82fed3706344b6fa47c496ab004ca47,1.0,0,normal
2025-11-25T09:09:26.000Z,test-topic-sig,31543,,handle,448,Illuminate\Routing,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,GET,75,POST,94,200,/health,200,http://localhost:8000/health,k6/0.57.0,,,localhost,8000,http://localhost:8000/health,/health,http,,,94,,,,,,,,,,,0.0,,,,1,31.0,2025-11-25T09:09:26.031Z,,,,,,,,,30.266039576340532,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,POST /health,,,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,74e13550dec04cd8,2025-11-25T09:09:26.000Z,01c51ea95ec641c780fd68ed6fdb3700,1.0,0,normal
2025-11-25T09:37:46.000Z,test-topic-sig,33753,,handle,428,Illuminate\Routing,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,POST,152,POST,190,200,/api/people,200,http://localhost:8000/api/people,k6/0.57.0,,,localhost,8000,http://localhost:8000/api/people,/api/people,http,,,190,,,,,,,,,,,0.0,,,,1,49.0,2025-11-25T09:37:46.049Z,,,,,,,,,45.64994599257777,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,GET /api/people,,,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,d0019661d76c4c20,2025-11-25T09:37:46.000Z,caa5493118ae4f08922f28c506299d31,1.0,0,normal
2025-11-25T09:59:47.000Z,test-topic-sig,,,handle,420,Illuminate\Routing,test_crud,SELECT,"select * from ""people""",pgsql,root,172.20.0.1,GET,37,GET,47,200,/api/orders,200,http://localhost:8000/api/orders,k6/0.57.0,,,localhost,8000,http://localhost:8000/api/orders,/api/orders,http,,,47,,,,,,,,,,,0.0,,,,1,52.0,2025-11-25T09:59:47.052Z,,,,,,,,,50.68870406694794,,,,0.0,,,,,,,,,,,,0,,,,,,9,0,2,GET /api/orders,,,,,,,,,,,,,,laravel,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,laravel,ba0c364c91404f20,2025-11-25T09:59:47.000Z,72b277d5564b4963a034bf74cd99a9d1,1.0,0,normal
